contents,quarter,value,shortname
Number of jobs (employments),2019K2,3039,Forestry and logging
Number of jobs (employments),2019K3,3548,Forestry and logging
Number of jobs (employments),2019K4,3539,Forestry and logging
Number of jobs (employments),2020K1,2803,Forestry and logging
Number of jobs (employments),2020K2,3019,Forestry and logging
Number of jobs (employments),2020K3,3453,Forestry and logging
Number of jobs (employments),2020K4,3261,Forestry and logging
Number of jobs (employments),2021K1,2707,Forestry and logging
Number of jobs (employments),2021K2,2900,Forestry and logging
Number of jobs (employments),2021K3,3329,Forestry and logging
Number of jobs (employments),2021K4,3313,Forestry and logging
Number of jobs (employments),2022K1,2840,Forestry and logging
Number of jobs (employments),2022K2,3166,Forestry and logging
Number of jobs (employments),2022K3,3586,Forestry and logging
Number of jobs (employments),2022K4,3493,Forestry and logging
Average monthly basic earnings (NOK),2016K1,36460,Forestry and logging
Average monthly basic earnings (NOK),2016K2,35670,Forestry and logging
Average monthly basic earnings (NOK),2016K3,34810,Forestry and logging
Average monthly basic earnings (NOK),2016K4,35710,Forestry and logging
Average monthly basic earnings (NOK),2017K1,36900,Forestry and logging
Average monthly basic earnings (NOK),2017K2,35880,Forestry and logging
Average monthly basic earnings (NOK),2017K3,35390,Forestry and logging
Average monthly basic earnings (NOK),2017K4,36330,Forestry and logging
Average monthly basic earnings (NOK),2018K1,37460,Forestry and logging
Average monthly basic earnings (NOK),2018K2,36830,Forestry and logging
Average monthly basic earnings (NOK),2018K3,36330,Forestry and logging
Average monthly basic earnings (NOK),2018K4,37250,Forestry and logging
Average monthly basic earnings (NOK),2019K1,38830,Forestry and logging
Average monthly basic earnings (NOK),2019K2,37890,Forestry and logging
Average monthly basic earnings (NOK),2019K3,37110,Forestry and logging
Average monthly basic earnings (NOK),2019K4,38410,Forestry and logging
Average monthly basic earnings (NOK),2020K1,39840,Forestry and logging
Average monthly basic earnings (NOK),2020K2,39940,Forestry and logging
Average monthly basic earnings (NOK),2020K3,38670,Forestry and logging
Average monthly basic earnings (NOK),2020K4,39550,Forestry and logging
Average monthly basic earnings (NOK),2021K1,41270,Forestry and logging
Average monthly basic earnings (NOK),2021K2,41070,Forestry and logging
Average monthly basic earnings (NOK),2021K3,40300,Forestry and logging
Average monthly basic earnings (NOK),2021K4,41030,Forestry and logging
Average monthly basic earnings (NOK),2022K1,43140,Forestry and logging
Average monthly basic earnings (NOK),2022K2,42700,Forestry and logging
Average monthly basic earnings (NOK),2022K3,42130,Forestry and logging
Average monthly basic earnings (NOK),2022K4,43200,Forestry and logging
Average monthly earnings (NOK),2016K1,37050,Forestry and logging
Average monthly earnings (NOK),2016K2,36230,Forestry and logging
Average monthly earnings (NOK),2016K3,35100,Forestry and logging
Average monthly earnings (NOK),2016K4,36250,Forestry and logging
Average monthly earnings (NOK),2017K1,37380,Forestry and logging
Average monthly earnings (NOK),2017K2,36480,Forestry and logging
Average monthly earnings (NOK),2017K3,35630,Forestry and logging
Average monthly earnings (NOK),2017K4,36660,Forestry and logging
Average monthly earnings (NOK),2018K1,38170,Forestry and logging
Average monthly earnings (NOK),2018K2,37500,Forestry and logging
Average monthly earnings (NOK),2018K3,36820,Forestry and logging
Average monthly earnings (NOK),2018K4,38020,Forestry and logging
Average monthly earnings (NOK),2019K1,39500,Forestry and logging
Average monthly earnings (NOK),2019K2,38870,Forestry and logging
Average monthly earnings (NOK),2019K3,37560,Forestry and logging
Average monthly earnings (NOK),2019K4,39330,Forestry and logging
Average monthly earnings (NOK),2020K1,40840,Forestry and logging
Average monthly earnings (NOK),2020K2,40860,Forestry and logging
Average monthly earnings (NOK),2020K3,39070,Forestry and logging
Average monthly earnings (NOK),2020K4,40320,Forestry and logging
Average monthly earnings (NOK),2021K1,42100,Forestry and logging
Average monthly earnings (NOK),2021K2,42360,Forestry and logging
Average monthly earnings (NOK),2021K3,40810,Forestry and logging
