code,parentCode,level,nb_name,name
3521,352,4,Teknikere innen radio og tv,Broadcasting and audio-visual technicians
3522,352,4,Teknikere innen telekom,Telecommunications engineering technicians
41,4,2,Kontormedarbeidere,General and keyboard clerks
4110,411,4,Kontormedarbeidere,General office clerks
4131,413,4,Stenografer mv.,Typists and word processing operators
4132,413,4,Dataregistrere,Data entry clerks
42,4,2,Kundeserviceyrker,Customer services clerks
4211,421,4,"Kundebehandlere, bank og postkontor",Bank tellers and related clerks
4212,421,4,"Bingoverter, bookmakere mv.","Bookmakers, croupiers and related gaming workers"
4213,421,4,Pantelånere mv.,Pawnbrokers and money-lenders
4214,421,4,Inkassomedarbeidere mv.,Debt collectors and related clerks
4221,422,4,Reisebyråmedarbeidere mv.,Travel consultants and clerks
4222,422,4,Kundesentermedarbeidere,Contact centre information clerks
4223,422,4,Sentralbordoperatører,Telephone switchboard operators
4224,422,4,Hotellresepsjonister,Hotel receptionists
4225,422,4,Informasjonsskrankemedarbeidere,Enquiry clerks
4226,422,4,Resepsjonister (ekskl. hotell),Receptionists (general)
4227,422,4,Intervjuere,Survey and market research interviewers
4229,422,4,Andre opplysningsmedarbeidere,Client information workers not elsewhere classified
43,4,2,Økonomi- og logistikkmedarbeidere,Numerical and material recording clerks
4311,431,4,Regnskapsmedarbeidere,Accounting and bookkeeping clerks
4312,431,4,Forsikrings- og finansmedarbeidere,"Statistical, finance and insurance clerks"
4313,431,4,Lønningsmedarbeidere,Payroll clerks
4321,432,4,Lagermedarbeidere og material-forvaltere,Stock clerks
4322,432,4,Logistikkmedarbeidere,Production clerks
4323,432,4,Transportfunksjonærer,Transport clerks
44,4,2,"Postbud, arkiv- og personalkontormedarbeidere",Other clerical support workers
4411,441,4,Bibliotekassistenter,Library clerks
4412,441,4,Postbud og postsorterere,Mail carriers and sorting clerks
4413,441,4,Kodere mv.,"Coding, proof-reading and related clerks"
4415,441,4,Arkivassistenter,Filing and copying clerks
4416,441,4,Personalkontormedarbeidere,Personnel clerks
51,5,2,Yrker innen personlig tjenesteyting,Personal service wokers
5111,511,4,"Flyverter, båtverter mv.",Travel attendants and travel stewards
